ECO,name,moves
B00,King's Pawn Opening; B00,e4
A40,Queen's Pawn Opening; A40,d4
A00,Anderssen's Opening,a3
A00,"Polish Gambit, Anderssen's Opening",a3 a5 b4
A00,Creepy Crawly Formation,a3 e5 h3 d5
A00,Andersspike,a3 g6 g4
A00,Ware; Meadow Hay; Crab,a4
A00,"Wing Gambit, Ware Opening",a4 b5
A00,"Cologne Gambit, Ware Opening",a4 b6 d4 d5 Nc3 Nd7
A00,Ware Gambit,a4 e5 a5 d5 e3 f5 a6
A01,Larsen; Queen's Fianchetto; Nimzo-Larsen Attack A01,b3
A01,"Symmetrical Variation, Larsen",b3 b6
A01,"English Variation, Larsen",b3 c5
A01,"Classical Variation, Larsen",b3 d5
A01,"Modern Variation, Larsen",b3 e5
A01,"Ringelbach Gambit, Larsen",b3 e5 Bb2 f5 e4
A01,"Paschmann Gambit, Larsen",b3 e5 Bb2 Nc6 f4
A01,"Dutch Variation, Larsen",b3 f5
A01,"Indian Variation, Larsen",b3 Nf6
A01,"Spike Variation, Larsen",b3 Nf6 Bb2 g6 g4
A00,Polish; Orangutan; Sokolsky; Hunt,b4
A00,"Birmingham Gambit, Polish",b4 c5
A00,"Outflank Variation, Polish",b4 c6
A00,"Schuhler Gambit, Polish",b4 c6 Bb2 a5 b5 cxb5 e4
A00,"Myers Variation, Polish",b4 d5 Bb2 c6 a4
A00,"Bugayev Attack, Polish",b4 e5 a3
A00,"Wolferts Gambit, Polish",b4 e5 Bb2 c5
A00,Schiffler-Sokolsky; Tartakower Gambit,b4 e5 Bb2 f6 e4 Bxb4
A00,"Brinckmann Variation, Polish",b4 e5 Bb2 f6 e4 Bxb4 Bc4 Nc6 f4 Qe7 f5 g6
A00,"Bucker Defense, Polish",b4 Na6
A00,"Grigorian Variation, Polish",b4 Nc6
A00,Polish Spike,b4 Nf6 Bb2 g6 g4
A00,"Karniewski; Tubingen Variation, Polish",b4 Nh6
A00,Saragossa; Hempel's Opening,c3
A00,Hanham; Hayward,c3 e5 Qc2
A10,English Opening; A10,c4
A10,"Halibut Gambit, English",c4 b5
A40,"Hartlaub Gambit, English",c4 b6 d4 Bb7 Nc3 e6 e4 f5 exf5 Nf6
A30,"Symmetrical Defense, English; A30",c4 c5
A30,"Wing Variation, English",c4 c5 b4
A34,"Normal Variation, Symmetrical English; A34",c4 c5 Nc3
A35,"Two Knights Variation, Symmetrical English; A35",c4 c5 Nc3 Nc6
A36,"Fianchetto Variation, Symmetrical English; A36",c4 c5 Nc3 Nc6 g3
A36,"Symmetrical Variation, Symmetrical English",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7
A36,"Botvinnik System Reversed, Symmetrical English",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 e3 e5
A36,"Botvinnik Variation, Symmetrical English",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 e4
A37,"Two Knights Line, Symmetrical English; A37",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3
A38,"Full Symmetry Line, Symmetrical English; A38",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6
A38,"Double Fianchetto, Symmetrical English",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6 O-O O-O b3
A38,"Duchamp Variation, Symmetrical English",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6 O-O O-O d3
A39,"Mecking Variation, Symmetrical English; A39",c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6 O-O O-O d4
A34,"Fianchetto Variation, Symmetrical English",c4 c5 Nc3 Nf6 g3
A34,"Rubinstein Variation, Symmetrical English",c4 c5 Nc3 Nf6 g3 d5 cxd5 Nxd5 Bg2 Nc7
